Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
140,10000,43.9,34.42,21.68
141,10000,43.16,34.839999999999996,22.0
142,10000,43.76,33.82,22.42
143,10000,44.62,33.29,22.09
144,10000,44.59,34.03,21.38
145,10000,44.21,34.54,21.25
146,10000,43.62,34.46,21.92
147,10000,43.84,33.89,22.27
148,10000,44.65,33.98,21.37
149,10000,44.0,34.260000000000005,21.740000000000002
150,10000,43.72,34.449999999999996,21.83
151,10000,44.16,34.35,21.490000000000002
152,10000,42.970000000000006,35.77,21.26
153,10000,42.95,34.83,22.220000000000002
154,10000,43.51,33.67,22.82
155,10000,44.74,33.42,21.84
156,10000,44.22,34.13,21.65
157,10000,43.78,34.53,21.69
158,10000,43.830000000000005,33.910000000000004,22.259999999999998
159,10000,43.79,34.01,22.2
160,10000,44.379999999999995,33.239999999999995,22.38
161,10000,44.58,34.29,21.13
162,10000,43.32,35.08,21.6
163,10000,42.91,34.86,22.23
164,10000,43.59,33.86,22.55
165,10000,44.58,33.800000000000004,21.62
166,10000,43.9,34.54,21.560000000000002
167,10000,43.4,34.64,21.959999999999997
168,10000,43.51,34.050000000000004,22.439999999999998
169,10000,44.64,33.44,21.92
170,10000,44.37,34.42,21.21
171,10000,43.38,35.06,21.560000000000002
172,10000,43.419999999999995,34.28,22.3
173,10000,43.830000000000005,34.510000000000005,21.66
174,10000,43.93,34.239999999999995,21.83
175,10000,43.62,34.5,21.88
176,10000,43.730000000000004,34.06,22.21
177,10000,43.56,34.61,21.83
178,10000,43.45,34.54,22.009999999999998
179,10000,43.61,34.52,21.87
180,10000,43.78,33.93,22.29
181,10000,44.32,33.739999999999995,21.94
182,10000,44.3,34.21,21.490000000000002
183,10000,43.63,34.870000000000005,21.5
184,10000,42.99,35.38,21.63
185,10000,42.84,34.339999999999996,22.82
186,10000,43.75,33.81,22.439999999999998
187,10000,44.48,33.650000000000006,21.87
188,10000,43.47,34.849999999999994,21.68
189,10000,43.96,34.06,21.98
190,10000,44.03,33.589999999999996,22.38
191,10000,44.09,34.089999999999996,21.82
