Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
0,2500,50.32,49.68,0.0
1,2500,24.2,66.72,9.08
2,2500,20.64,51.04,28.32
3,2500,38.76,24.959999999999997,36.28
4,2500,55.279999999999994,24.279999999999998,20.44
5,2500,48.24,39.839999999999996,11.92
6,2500,36.24,45.2,18.56
7,2500,37.04,35.839999999999996,27.12
8,2500,45.16,27.560000000000002,27.279999999999998
9,2500,49.44,31.680000000000003,18.88
10,2500,43.72,37.44,18.84
11,2500,40.64,37.84,21.52
12,2500,41.36,34.160000000000004,24.48
13,2500,44.800000000000004,32.64,22.56
14,2500,45.2,33.2,21.6
15,2500,44.440000000000005,34.2,21.36
16,2500,43.32,34.88,21.8
17,2500,43.64,33.800000000000004,22.56
18,2500,44.92,33.56,21.52
19,2500,43.64,34.839999999999996,21.52
20,2500,42.72,34.64,22.64
21,2500,44.0,33.28,22.720000000000002
22,2500,46.800000000000004,31.840000000000003,21.36
23,2500,44.76,34.599999999999994,20.64
24,2500,41.959999999999994,36.199999999999996,21.84
25,2500,43.8,33.76,22.439999999999998
26,2500,43.96,34.92,21.12
27,2500,43.0,35.36,21.64
28,2500,43.6,35.120000000000005,21.279999999999998
29,2500,43.64,34.56,21.8
30,2500,43.6,34.08,22.32
31,2500,44.0,34.08,21.92
32,2500,43.6,34.08,22.32
33,2500,43.32,35.32,21.36
34,2500,42.72,34.28,23.0
35,2500,44.96,33.6,21.44
36,2500,43.24,34.96,21.8
37,2500,43.16,34.599999999999994,22.24
38,2500,44.440000000000005,33.2,22.36
39,2500,44.519999999999996,33.879999999999995,21.6
40,2500,43.6,35.04,21.36
41,2500,43.08,35.04,21.88
42,2500,43.96,33.839999999999996,22.2
43,2500,44.080000000000005,34.04,21.88
44,2500,43.480000000000004,35.52,21.0
45,2500,42.4,35.72,21.88
46,2500,42.6,35.28,22.12
47,2500,43.32,33.839999999999996,22.84
48,2500,43.72,35.24,21.04
49,2500,42.64,36.24,21.12
50,2500,41.4,35.160000000000004,23.44
51,2500,43.919999999999995,32.64,23.44
52,2500,44.879999999999995,33.28,21.84
53,2500,43.6,35.04,21.36
54,2500,43.88,33.96,22.16
55,2500,45.64,31.119999999999997,23.24
56,2500,46.72,33.44,19.84
57,2500,44.36,33.839999999999996,21.8
58,2500,42.88,36.8,20.32
59,2500,43.120000000000005,33.48,23.400000000000002
60,2500,44.76,33.72,21.52
61,2500,43.64,35.120000000000005,21.240000000000002
62,2500,43.32,34.28,22.400000000000002
63,2500,43.64,35.199999999999996,21.16
64,2500,43.6,34.56,21.84
65,2500,44.0,34.12,21.88
66,2500,43.64,33.96,22.400000000000002
67,2500,44.56,33.68,21.759999999999998
68,2500,43.6,34.92,21.48
69,2500,42.16,36.199999999999996,21.64
70,2500,43.36,32.96,23.68
71,2500,45.56,32.4,22.040000000000003
72,2500,43.96,36.720000000000006,19.32
73,2500,41.04,36.480000000000004,22.48
74,2500,44.0,32.28,23.72
75,2500,45.04,33.32,21.64
76,2500,43.68,36.04,20.28
77,2500,41.199999999999996,36.76,22.040000000000003
78,2500,43.16,32.96,23.880000000000003
79,2500,46.32,31.04,22.64
80,2500,45.92,33.92,20.16
81,2500,42.68,37.16,20.16
82,2500,40.48,37.4,22.12
83,2500,42.92,33.32,23.76
84,2500,45.32,32.16,22.52
85,2500,45.64,33.800000000000004,20.560000000000002
86,2500,42.16,37.16,20.68
87,2500,42.32,34.04,23.64
88,2500,45.440000000000005,31.240000000000002,23.32
89,2500,45.839999999999996,32.879999999999995,21.279999999999998
90,2500,44.64,34.68,20.68
91,2500,42.64,36.08,21.279999999999998
92,2500,42.72,34.8,22.48
93,2500,45.48,32.0,22.52
94,2500,45.36,33.44,21.2
95,2500,44.519999999999996,34.839999999999996,20.64
96,2500,44.4,33.839999999999996,21.759999999999998
97,2500,43.16,36.16,20.68
98,2500,41.839999999999996,36.64,21.52
99,2500,41.68,34.88,23.44
100,2500,45.28,33.08,21.64
101,2500,44.68,34.96,20.36
102,2500,42.84,35.88,21.279999999999998
103,2500,41.64,36.120000000000005,22.24
104,2500,42.92,33.4,23.68
105,2500,44.84,32.6,22.56
106,2500,44.24,35.6,20.16
107,2500,42.52,35.96,21.52
108,2500,41.72,35.52,22.759999999999998
109,2500,43.519999999999996,33.52,22.96
110,2500,45.64,31.96,22.400000000000002
111,2500,45.32,33.68,21.0
112,2500,43.72,35.44,20.84
113,2500,42.88,34.760000000000005,22.36
114,2500,43.04,34.92,22.040000000000003
115,2500,44.24,33.56,22.2
116,2500,43.96,34.8,21.240000000000002
117,2500,44.2,33.6,22.2
118,2500,43.84,34.8,21.36
119,2500,43.36,34.04,22.6
120,2500,44.24,34.32,21.44
121,2500,45.839999999999996,32.56,21.6
122,2500,44.879999999999995,34.44,20.68
123,2500,42.72,36.32,20.96
124,2500,41.88,36.480000000000004,21.64
125,2500,42.8,35.36,21.84
126,2500,42.96,35.199999999999996,21.84
127,2500,42.76,35.480000000000004,21.759999999999998
128,2500,43.519999999999996,33.160000000000004,23.32
129,2500,44.84,33.2,21.959999999999997
130,2500,45.56,33.32,21.12
131,2500,44.800000000000004,34.160000000000004,21.04
132,2500,43.4,35.44,21.16
133,2500,42.92,34.839999999999996,22.24
134,2500,43.2,35.36,21.44
135,2500,42.68,36.120000000000005,21.2
136,2500,42.64,35.8,21.560000000000002
137,2500,42.52,35.6,21.88
138,2500,43.120000000000005,34.12,22.759999999999998
139,2500,45.440000000000005,32.72,21.84
140,2500,45.24,33.48,21.279999999999998
141,2500,43.88,35.36,20.76
142,2500,42.84,35.24,21.92
143,2500,43.36,33.879999999999995,22.759999999999998
144,2500,44.440000000000005,33.879999999999995,21.68
145,2500,43.84,34.44,21.72
146,2500,44.12,34.12,21.759999999999998
147,2500,43.88,34.48,21.64
148,2500,44.4,34.2,21.4
149,2500,44.24,34.239999999999995,21.52
150,2500,44.2,33.2,22.6
151,2500,44.16,33.64,22.2
152,2500,43.64,34.760000000000005,21.6
153,2500,45.0,32.519999999999996,22.48
154,2500,45.56,34.28,20.16
155,2500,42.199999999999996,36.120000000000005,21.68
156,2500,42.76,34.28,22.96
157,2500,42.64,35.120000000000005,22.24
158,2500,43.64,33.4,22.96
159,2500,44.32,34.96,20.72
160,2500,43.64,34.160000000000004,22.2
161,2500,43.64,34.08,22.28
162,2500,44.68,34.239999999999995,21.08
163,2500,43.4,35.32,21.279999999999998
164,2500,43.36,33.52,23.119999999999997
165,2500,45.04,33.68,21.279999999999998
166,2500,42.84,36.32,20.84
