Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
164,10000,44.66,33.83,21.51
165,10000,44.09,34.32,21.59
166,10000,44.1,33.81,22.09
167,10000,43.45,34.910000000000004,21.64
168,10000,43.79,33.51,22.7
169,10000,44.74,32.98,22.28
170,10000,45.23,33.339999999999996,21.43
171,10000,44.379999999999995,35.0,20.62
172,10000,42.47,35.54,21.990000000000002
173,10000,43.45,33.550000000000004,23.0
174,10000,44.269999999999996,33.29,22.439999999999998
175,10000,44.51,33.92,21.57
176,10000,43.84,34.83,21.33
177,10000,43.14,34.58,22.28
178,10000,43.47,33.86,22.67
179,10000,44.47,33.589999999999996,21.94
180,10000,43.8,34.489999999999995,21.709999999999997
181,10000,44.12,34.150000000000006,21.73
182,10000,44.66,33.07,22.27
183,10000,44.48,33.98,21.54
184,10000,43.69,34.660000000000004,21.65
185,10000,43.230000000000004,34.97,21.8
186,10000,43.46,33.53,23.01
187,10000,44.76,32.7,22.54
188,10000,44.330000000000005,34.150000000000006,21.52
189,10000,44.18,33.87,21.95
190,10000,44.13,33.72,22.15
191,10000,43.9,34.410000000000004,21.69
192,10000,43.62,34.42,21.959999999999997
193,10000,43.57,34.55,21.88
194,10000,43.669999999999995,34.589999999999996,21.740000000000002
195,10000,43.65,34.57,21.78
196,10000,43.07,35.160000000000004,21.77
197,10000,42.85,34.98,22.17
198,10000,43.96,33.43,22.61
199,10000,44.4,34.339999999999996,21.26
200,10000,43.59,35.010000000000005,21.4
201,10000,43.46,34.22,22.32
202,10000,43.91,34.2,21.89
203,10000,43.79,35.089999999999996,21.12
204,10000,42.65,35.22,22.13
205,10000,43.57,34.17,22.259999999999998
206,10000,43.63,34.67,21.7
207,10000,42.89,35.3,21.81
208,10000,43.269999999999996,34.69,22.040000000000003
209,10000,43.89,34.02,22.09
210,10000,44.31,34.050000000000004,21.64
211,10000,43.75,34.03,22.220000000000002
212,10000,44.2,34.22,21.58
213,10000,43.46,35.0,21.54
214,10000,43.35,34.339999999999996,22.31
215,10000,44.21,33.92,21.87
216,10000,44.16,34.160000000000004,21.68
217,10000,43.46,35.010000000000005,21.529999999999998
218,10000,43.38,34.54,22.08
219,10000,43.84,33.879999999999995,22.28
220,10000,43.96,34.14,21.9
221,10000,44.34,34.0,21.66
222,10000,43.769999999999996,34.29,21.94
223,10000,43.63,34.78,21.59
224,10000,43.55,34.25,22.2
225,10000,44.15,34.12,21.73
226,10000,44.3,34.160000000000004,21.54
227,10000,44.26,34.42,21.32
228,10000,43.519999999999996,34.4,22.08
229,10000,44.07,34.39,21.54
230,10000,43.54,35.089999999999996,21.37
231,10000,43.830000000000005,34.300000000000004,21.87
232,10000,43.86,34.52,21.62
233,10000,43.47,34.949999999999996,21.58
234,10000,44.0,33.95,22.05
235,10000,43.62,34.93,21.45
236,10000,43.13,34.839999999999996,22.03
237,10000,43.32,34.46,22.220000000000002
238,10000,44.3,33.29,22.41
239,10000,44.36,34.38,21.26
240,10000,43.38,34.99,21.63
241,10000,43.02,34.54,22.439999999999998
242,10000,43.75,34.4,21.85
243,10000,43.830000000000005,34.25,21.92
244,10000,43.76,34.07,22.17
245,10000,44.21,34.06,21.73
246,10000,43.51,34.94,21.55
247,10000,43.37,35.08,21.55
248,10000,43.21,34.72,22.07
249,10000,43.669999999999995,34.38,21.95
250,10000,44.62,33.52,21.86
251,10000,43.95,34.65,21.4
252,10000,43.62,34.4,21.98
253,10000,44.17,33.7,22.13
254,10000,44.4,33.660000000000004,21.94
255,10000,44.25,33.98,21.77
256,10000,43.39,34.98,21.63
257,10000,43.15,34.39,22.46
258,10000,43.64,33.650000000000006,22.71
259,10000,44.66,33.67,21.67
260,10000,43.69,35.15,21.16
261,10000,43.49,35.099999999999994,21.41
262,10000,43.51,34.28,22.21
263,10000,43.89,34.23,21.88
264,10000,43.45,34.839999999999996,21.709999999999997
265,10000,43.519999999999996,34.43,22.05
266,10000,43.4,34.83,21.77
267,10000,43.64,34.23,22.13
268,10000,44.190000000000005,33.86,21.95
269,10000,43.57,34.839999999999996,21.59
270,10000,43.28,34.62,22.1
271,10000,43.21,34.32,22.470000000000002
272,10000,44.07,33.53,22.400000000000002
273,10000,44.57,33.800000000000004,21.63
274,10000,44.06,34.54,21.4
275,10000,43.57,34.510000000000005,21.92
276,10000,43.38,34.56,22.06
277,10000,43.53,34.28,22.189999999999998
278,10000,44.39,33.45,22.16
279,10000,44.05,34.46,21.490000000000002
280,10000,43.87,34.260000000000005,21.87
281,10000,43.36,34.9,21.740000000000002
282,10000,42.970000000000006,34.99,22.040000000000003
283,10000,43.03,34.53,22.439999999999998
284,10000,44.37,33.71,21.92
285,10000,44.4,34.38,21.22
286,10000,43.269999999999996,35.120000000000005,21.61
287,10000,43.41,34.07,22.52
288,10000,43.79,34.44,21.77
289,10000,43.68,34.58,21.740000000000002
290,10000,43.919999999999995,33.73,22.35
291,10000,44.45,33.71,21.84
292,10000,43.66,34.63,21.709999999999997
293,10000,44.07,34.06,21.87
294,10000,43.41,34.96,21.63
295,10000,43.28,34.699999999999996,22.02
296,10000,43.41,34.07,22.52
297,10000,44.54,33.42,22.040000000000003
298,10000,44.56,34.21,21.23
299,10000,43.2,35.11,21.69
300,10000,43.39,34.63,21.98
301,10000,43.84,33.82,22.34
302,10000,44.269999999999996,34.03,21.7
303,10000,43.89,34.55,21.560000000000002
304,10000,43.93,34.0,22.07
305,10000,43.89,34.28,21.83
306,10000,43.53,34.82,21.65
307,10000,43.14,35.49,21.37
308,10000,42.86,34.760000000000005,22.38
309,10000,44.49,33.379999999999995,22.13
310,10000,43.8,34.510000000000005,21.69
311,10000,43.79,34.97,21.240000000000002
312,10000,43.120000000000005,35.010000000000005,21.87
313,10000,43.66,34.21,22.13
314,10000,44.48,33.67,21.85
315,10000,44.54,34.08,21.38
316,10000,43.41,34.99,21.6
317,10000,44.0,33.78,22.220000000000002
318,10000,44.379999999999995,33.900000000000006,21.72
319,10000,44.3,34.31,21.39
320,10000,43.32,35.13,21.55
321,10000,43.43,34.69,21.88
322,10000,43.65,33.77,22.58
323,10000,44.48,33.53,21.990000000000002
324,10000,44.39,34.53,21.08
325,10000,43.309999999999995,35.23,21.46
326,10000,42.47,35.07,22.46
327,10000,43.38,34.489999999999995,22.13
328,10000,43.47,34.46,22.07
329,10000,43.66,34.849999999999994,21.490000000000002
330,10000,42.79,35.14,22.07
331,10000,42.980000000000004,34.32,22.7
332,10000,44.28,33.32,22.400000000000002
333,10000,44.43,34.23,21.34
334,10000,43.919999999999995,34.36,21.72
335,10000,43.93,33.989999999999995,22.08
336,10000,44.34,33.589999999999996,22.07
337,10000,44.74,33.67,21.59
338,10000,43.72,34.94,21.34
339,10000,42.96,34.74,22.3
340,10000,43.74,33.69,22.57
341,10000,44.62,33.21,22.17
342,10000,45.03,33.57,21.4
343,10000,43.68,35.370000000000005,20.95
344,10000,42.65,35.79,21.560000000000002
345,10000,42.970000000000006,34.57,22.46
346,10000,44.67,33.2,22.13
347,10000,43.96,34.510000000000005,21.529999999999998
348,10000,43.29,34.56,22.15
349,10000,43.76,34.21,22.03
350,10000,44.84,33.650000000000006,21.51
351,10000,43.88,34.71,21.41
352,10000,43.64,34.19,22.17
353,10000,43.41,34.2,22.39
354,10000,44.89,33.18,21.93
355,10000,44.97,33.36,21.67
356,10000,44.55,34.260000000000005,21.19
357,10000,43.56,34.35,22.09
358,10000,44.230000000000004,33.81,21.959999999999997
359,10000,44.22,34.03,21.75
360,10000,43.730000000000004,34.77,21.5
361,10000,42.730000000000004,35.24,22.03
362,10000,43.4,34.160000000000004,22.439999999999998
363,10000,44.5,33.85,21.65
364,10000,43.94,34.38,21.68
365,10000,43.53,34.89,21.58
366,10000,43.08,34.53,22.39
367,10000,43.74,33.52,22.74
368,10000,44.879999999999995,33.19,21.93
369,10000,44.43,34.27,21.3
370,10000,43.84,34.55,21.61
371,10000,43.419999999999995,34.4,22.18
372,10000,44.51,32.910000000000004,22.58
373,10000,44.59,34.03,21.38
374,10000,43.81,35.05,21.14
375,10000,42.96,35.05,21.990000000000002
376,10000,43.84,33.410000000000004,22.75
377,10000,44.79,33.550000000000004,21.66
378,10000,44.440000000000005,34.27,21.29
379,10000,43.26,35.24,21.5
380,10000,42.61,35.089999999999996,22.3
381,10000,43.37,33.85,22.78
382,10000,44.14,34.22,21.64
383,10000,43.9,34.63,21.47
384,10000,43.61,34.43,21.959999999999997
385,10000,43.49,34.67,21.84
386,10000,43.49,34.599999999999994,21.91
387,10000,43.37,34.21,22.42
388,10000,43.68,34.17,22.15
389,10000,43.93,34.27,21.8
390,10000,43.59,34.660000000000004,21.75
391,10000,43.19,34.82,21.990000000000002
392,10000,43.38,34.33,22.29
393,10000,44.25,33.97,21.78
394,10000,43.919999999999995,34.88,21.2
395,10000,43.39,34.56,22.05
396,10000,43.55,34.18,22.27
397,10000,43.56,34.06,22.38
398,10000,43.91,34.11,21.98
399,10000,43.94,34.12,21.94
400,10000,43.62,34.67,21.709999999999997
401,10000,43.919999999999995,33.71,22.37
402,10000,44.39,33.81,21.8
403,10000,44.47,34.29,21.240000000000002
404,10000,42.92,35.86,21.22
405,10000,42.57,34.74,22.689999999999998
406,10000,43.830000000000005,33.1,23.07
407,10000,44.769999999999996,33.94,21.29
408,10000,43.919999999999995,34.74,21.34
409,10000,43.51,34.56,21.93
410,10000,43.3,34.38,22.32
411,10000,43.64,33.93,22.43
412,10000,44.12,33.68,22.2
413,10000,44.7,33.6,21.7
414,10000,44.269999999999996,34.89,20.84
415,10000,43.1,35.14,21.759999999999998
416,10000,43.519999999999996,34.08,22.400000000000002
417,10000,43.730000000000004,34.47,21.8
418,10000,43.480000000000004,34.489999999999995,22.03
419,10000,43.37,34.93,21.7
420,10000,43.95,33.739999999999995,22.31
421,10000,43.81,34.77,21.42
422,10000,43.35,34.75,21.9
423,10000,42.79,35.23,21.98
424,10000,43.37,34.25,22.38
425,10000,43.56,33.97,22.470000000000002
