Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
0,2500,48.6,51.4,0.0
1,2500,23.080000000000002,68.32000000000001,8.6
2,2500,18.04,52.959999999999994,28.999999999999996
3,2500,30.919999999999998,29.84,39.24
4,2500,44.56,29.799999999999997,25.64
5,2500,40.44,38.16,21.4
6,2500,35.08,39.0,25.919999999999998
7,2500,37.24,35.0,27.76
8,2500,39.48,33.44,27.08
9,2500,40.2,35.96,23.84
10,2500,37.92,37.0,25.080000000000002
11,2500,37.92,35.32,26.76
12,2500,36.480000000000004,37.56,25.96
13,2500,36.720000000000006,35.480000000000004,27.800000000000004
14,2500,38.440000000000005,34.72,26.840000000000003
15,2500,38.4,36.36,25.240000000000002
16,2500,37.519999999999996,36.199999999999996,26.279999999999998
17,2500,39.28,33.96,26.76
18,2500,39.68,34.96,25.36
19,2500,40.28,34.72,25.0
20,2500,39.2,36.120000000000005,24.68
21,2500,37.28,37.0,25.72
22,2500,38.279999999999994,35.32,26.400000000000002
23,2500,38.440000000000005,35.4,26.16
24,2500,38.68,35.64,25.679999999999996
25,2500,37.92,36.4,25.679999999999996
26,2500,38.64,34.36,27.0
27,2500,38.84,36.4,24.759999999999998
28,2500,39.12,34.48,26.400000000000002
29,2500,38.56,35.88,25.56
30,2500,38.080000000000005,35.52,26.400000000000002
31,2500,39.24,34.2,26.56
32,2500,39.800000000000004,35.04,25.16
33,2500,38.440000000000005,37.12,24.44
34,2500,37.88,36.480000000000004,25.64
35,2500,38.440000000000005,34.839999999999996,26.72
36,2500,39.36,34.52,26.119999999999997
37,2500,40.92,33.36,25.72
38,2500,39.96,36.120000000000005,23.919999999999998
39,2500,38.080000000000005,37.0,24.92
40,2500,38.12,35.32,26.56
41,2500,37.16,36.120000000000005,26.72
42,2500,38.36,35.480000000000004,26.16
43,2500,38.519999999999996,35.52,25.96
44,2500,38.68,34.72,26.6
45,2500,39.96,34.239999999999995,25.8
46,2500,40.760000000000005,34.760000000000005,24.48
47,2500,39.12,36.4,24.48
48,2500,38.68,36.28,25.040000000000003
49,2500,38.879999999999995,35.44,25.679999999999996
50,2500,39.24,34.64,26.119999999999997
51,2500,38.879999999999995,36.68,24.44
52,2500,37.08,36.919999999999995,26.0
53,2500,38.64,34.88,26.479999999999997
54,2500,40.0,33.96,26.040000000000003
55,2500,39.2,35.76,25.040000000000003
56,2500,38.6,36.120000000000005,25.28
57,2500,38.080000000000005,36.24,25.679999999999996
58,2500,39.36,34.599999999999994,26.040000000000003
59,2500,38.879999999999995,36.52,24.6
60,2500,37.24,36.68,26.08
61,2500,38.800000000000004,34.36,26.840000000000003
62,2500,39.28,35.0,25.72
63,2500,39.12,34.44,26.44
64,2500,40.92,33.839999999999996,25.240000000000002
65,2500,39.12,36.480000000000004,24.4
66,2500,36.559999999999995,37.480000000000004,25.96
67,2500,38.48,34.64,26.88
68,2500,40.400000000000006,34.72,24.88
69,2500,38.0,37.24,24.759999999999998
70,2500,38.16,35.04,26.8
71,2500,39.12,35.04,25.840000000000003
