Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
157,10000,38.64,34.839999999999996,26.52
158,10000,38.97,35.39,25.64
159,10000,38.59,35.78,25.629999999999995
160,10000,39.07,34.9,26.029999999999998
161,10000,39.01,35.22,25.77
162,10000,39.37,35.15,25.480000000000004
163,10000,38.67,35.78,25.55
164,10000,38.51,35.6,25.89
165,10000,39.15,34.44,26.41
166,10000,39.15,35.010000000000005,25.840000000000003
167,10000,39.37,35.23,25.4
168,10000,38.1,36.36,25.540000000000003
169,10000,38.25,35.47,26.279999999999998
170,10000,38.76,35.120000000000005,26.119999999999997
171,10000,39.72,34.98,25.3
172,10000,39.0,35.870000000000005,25.130000000000003
173,10000,38.79,35.260000000000005,25.95
174,10000,38.4,35.93,25.669999999999998
175,10000,38.42,36.059999999999995,25.52
176,10000,37.66,36.29,26.05
177,10000,38.29,35.52,26.19
178,10000,38.24,35.589999999999996,26.169999999999998
179,10000,39.32,34.760000000000005,25.919999999999998
180,10000,39.51,34.82,25.669999999999998
181,10000,39.160000000000004,35.79,25.05
182,10000,38.53,35.6,25.869999999999997
183,10000,38.129999999999995,36.07,25.8
184,10000,38.18,35.39,26.43
185,10000,38.43,35.69,25.88
186,10000,39.07,34.77,26.16
187,10000,39.54,35.099999999999994,25.36
188,10000,38.67,36.13,25.2
189,10000,38.59,35.65,25.759999999999998
190,10000,38.66,35.620000000000005,25.72
191,10000,38.35,35.28,26.369999999999997
192,10000,38.6,35.49,25.91
193,10000,38.76,35.38,25.86
194,10000,38.019999999999996,36.32,25.66
195,10000,38.64,34.38,26.979999999999997
196,10000,39.81,34.44,25.75
197,10000,39.54,35.39,25.069999999999997
198,10000,38.76,35.65,25.590000000000003
199,10000,38.16,35.88,25.96
200,10000,38.57,35.06,26.369999999999997
201,10000,39.61,34.589999999999996,25.8
202,10000,39.050000000000004,35.55,25.4
203,10000,38.51,35.67,25.82
204,10000,38.879999999999995,35.29,25.83
205,10000,38.58,35.47,25.95
206,10000,38.97,35.22,25.81
207,10000,39.22,35.0,25.779999999999998
208,10000,39.2,35.63,25.169999999999998
209,10000,38.76,35.730000000000004,25.509999999999998
210,10000,38.379999999999995,35.730000000000004,25.89
211,10000,39.18,34.489999999999995,26.33
212,10000,39.519999999999996,35.120000000000005,25.36
213,10000,38.96,35.55,25.490000000000002
214,10000,38.23,35.72,26.05
215,10000,38.92,35.3,25.779999999999998
216,10000,39.31,35.0,25.69
217,10000,39.17,34.79,26.040000000000003
218,10000,39.489999999999995,34.98,25.53
219,10000,38.83,35.75,25.419999999999998
220,10000,38.74,35.42,25.840000000000003
221,10000,39.32,34.73,25.95
222,10000,39.09,35.79,25.119999999999997
223,10000,38.35,35.85,25.8
224,10000,39.12,35.17,25.71
225,10000,38.46,35.76,25.779999999999998
226,10000,38.01,35.91,26.08
227,10000,38.58,35.29,26.13
228,10000,39.76,34.48,25.759999999999998
229,10000,39.21,35.870000000000005,24.92
230,10000,38.42,35.709999999999994,25.869999999999997
231,10000,38.61,35.58,25.81
232,10000,39.18,34.94,25.88
233,10000,39.22,35.72,25.06
234,10000,39.23,35.05,25.72
235,10000,38.48,35.89,25.629999999999995
236,10000,37.91,36.6,25.490000000000002
237,10000,37.81,35.6,26.590000000000003
238,10000,39.36,33.989999999999995,26.650000000000002
239,10000,39.33,35.32,25.35
240,10000,39.21,34.98,25.81
241,10000,38.79,35.370000000000005,25.840000000000003
242,10000,39.42,34.47,26.11
243,10000,39.1,35.949999999999996,24.95
244,10000,38.35,35.23,26.419999999999998
245,10000,38.85,34.99,26.16
246,10000,39.24,35.22,25.540000000000003
247,10000,38.45,36.0,25.55
248,10000,39.64,33.73,26.63
249,10000,39.879999999999995,35.370000000000005,24.75
250,10000,38.42,35.85,25.729999999999997
251,10000,38.99,35.11,25.900000000000002
252,10000,38.35,36.27,25.380000000000003
253,10000,38.24,35.8,25.96
254,10000,38.440000000000005,35.38,26.179999999999996
255,10000,38.85,35.13,26.02
256,10000,39.43,34.63,25.94
257,10000,38.86,35.620000000000005,25.52
258,10000,39.01,35.3,25.69
259,10000,39.160000000000004,35.24,25.6
260,10000,38.58,35.870000000000005,25.55
261,10000,38.95,35.23,25.82
262,10000,38.1,36.370000000000005,25.53
263,10000,38.440000000000005,35.39,26.169999999999998
264,10000,38.46,35.730000000000004,25.81
265,10000,38.36,35.709999999999994,25.929999999999996
266,10000,38.31,36.120000000000005,25.569999999999997
267,10000,37.71,36.04,26.25
268,10000,38.800000000000004,34.489999999999995,26.71
269,10000,39.4,35.11,25.490000000000002
270,10000,39.03,35.839999999999996,25.130000000000003
271,10000,38.4,35.6,26.0
272,10000,38.58,36.059999999999995,25.36
273,10000,38.65,35.3,26.05
274,10000,38.47,36.09,25.44
275,10000,38.16,36.16,25.679999999999996
276,10000,38.03,35.709999999999994,26.26
277,10000,38.629999999999995,35.25,26.119999999999997
278,10000,38.73,35.65,25.619999999999997
279,10000,38.5,35.43,26.07
280,10000,38.82,35.07,26.11
281,10000,39.26,35.23,25.509999999999998
282,10000,38.92,35.44,25.64
283,10000,39.06,34.92,26.02
284,10000,39.489999999999995,35.04,25.47
285,10000,39.2,35.56,25.240000000000002
